Item,Description,Cost (Pre-Tax),Link
Switches,Gateron Milky Yellow Pro V2,25.90,https://www.amazon.com/gp/product/B0C2CZJQHT
Rotary Encoder,ALPS EC11 THT 20k thread-blue vertical switch (H: 20mm),5.58,https://mouser.com
Keycaps,PBT green MOA profile,24.99,https://www.amazon.com/gp/product/B0F914Q43R
Diodes,1N4148 SMD (Qty: 104) SOD-123,0.18/unit,https://www.mouser.com/en/ProductDetail/Diodes-Incorporated/1N4148W-7-F
Stabilizers,Durock V3 screw-in,25.99,https://www.amazon.com/dp/B0B2RW12S2
PCB,Custom PCB,45.00,AIVON (with $30 discount applied)
Kailh Hotswap Sockets,120 pcs,13.20,https://mechanicalkeyboards.com/products/kailh-switch-hot-swap-socket
ESP32-S3 DevKitC-1 (N16R8),MCU,8.99,https://www.amazon.com/dp/B0GBT212KM
Cyanoacrylate Glue,CA super glue,5.99,https://www.amazon.com/dp/B0DYJPW9GK
M3 Heatset Inserts,Brass,6.99,https://www.amazon.com/dp/B0FWWW8VP1
M3 Screws,Assorted set,6.99,https://www.amazon.com/dp/B0D3X5CT2J
3D Printed Case,Custom,, 
3D Printed Plate,Custom,, 
3D Printed Knob,EC11 compatible,, 
Adhesive Transfer Tape,3M Scotch 924 ATG,9.57,https://www.amazon.com/dp/B00FFDUG9M
PORON Gasket Sheet,1–4.7mm,11.99,https://www.amazon.com/dp/B0B151N6V4
Silicone Pour 20A,Under-PCB acoustic insulation,21.99,https://www.amazon.com/dp/B0DLB9SMFX
